Name,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
ANGLO ASIAN MINING PLC,Mining,General Mining,100.21,86.0,47.53,21.23,nan,2017
ANGLO-EASTERN PLANTATIONS PLC,Food Producers,Farming &amp; Fishing,225.13,581.0,759.03,-28.98,0.39,2017
ANGUS ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,43.02,11.2,nan,nan,-2183.85,2017
ANIMALCARE GROUP PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,90.09,150.0,-26.38,28.9,2.16,2017
ANPARIO PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,75.27,340.0,85.22,nan,1.65,2017
ANTOFAGASTA PLC,Mining,General Mining,7721.23,738.0,568.05,22.21,3.83,2017
AO WORLD PLC,General Retailers,Specialty Retailers,589.08,130.4,14.49,-47.17,nan,2018
AORTECH INTERNATIONAL PLC,Health Care Equipment &amp; Services,Medical Equipment,7.27,48.5,9.62,nan,nan,2018
APAX GLOBAL ALPHA LIMITED,Equity Investment Instruments,Equity Investment Instruments,662.99,140.0,170.59,nan,6.62,2017
APC TECHNOLOGY GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,11.92,6.38,-2.41,75.19,nan,2017
APPLEGREEN PLC,General Retailers,Specialty Retailers,612.73,514.0,124.79,5.62,nan,2017
APPLIED GRAPHENE MATERIALS PLC,Chemicals,Specialty Chemicals,16.81,35.0,26.98,nan,-69.63,2017
APPSCATTER GROUP PLC,Software &amp; Computer Services,Software,18.2,20.0,12.04,nan,nan,2017
AQUIS EXCHANGE PLC,Financial Services,Investment Services,155.43,572.5,nan,nan,nan,nan
ARBUTHNOT BANKING GROUP PLC,Financial Services,Specialty Finance,158.57,1065.0,1480.15,nan,2.38,2017
ARC MINERALS LIMITED,Mining,Gold Mining,16.76,2.67,1.77,nan,nan,2018
ARCONTECH GROUP PLC,Software &amp; Computer Services,Software,18.16,143.5,15.6,nan,1.71,2018
ARDEN PARTNERS PLC,Financial Services,Investment Services,8.78,28.5,39.88,nan,1.96,2017
ARENA EVENTS GROUP PLC,Travel &amp; Leisure,Recreational Services,88.11,58.0,-1676.68,22.75,nan,2017
ARGO GROUP LIMITED,Financial Services,Specialty Finance,8.35,17.75,40.96,nan,nan,2017
ARGOS RESOURCES LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,6.18,2.8,0.2,nan,nan,2016
ARIANA RESOURCES PLC,Mining,Gold Mining,16.16,1.57,0.21,nan,nan,2017
ARMADALE CAPITAL PLC,"Gas, Water &amp; Multiutilities",Water,2.8,0.88,0.79,29.37,nan,2017
ARROW GLOBAL GROUP PLC,Financial Services,Specialty Finance,311.99,175.0,-0.64,nan,2.82,2017
ARTEMIS ALPHA TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,106.96,259.5,396.1,nan,1.95,2018
ASA INTERNATIONAL GROUP PLC,Financial Services,Consumer Finance,419.3,414.0,nan,nan,nan,nan
ASCENT RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,6.87,0.3,1.93,nan,nan,2017
ASCENTIAL PLC,Media,Media Agencies,1510.74,380.6,-72.45,nan,nan,2017
ASHLEY HOUSE PLC,Construction &amp; Materials,Heavy Construction,7.07,11.75,8.99,27.8,nan,2018
ASHLEY (LAURA) HOLDINGS PLC,General Retailers,Home Improvement Retailers,23.58,3.3,4.81,nan,nan,2018
ASHMORE GROUP PLC,Financial Services,Asset Managers,2605.78,359.4,96.84,nan,4.46,2018
ASHMORE GLOBAL OPPORTUNITIES LIMITED,Equity Investment Instruments,Equity Investment Instruments,4.95,3.62,507.88,nan,nan,2017
ASHTEAD GROUP PLC,Support Services,Business Support Services,7821.9,1615.5,288.05,107.33,1.62,2018
ASIAMET RESOURCES LIMITED,Mining,General Mining,38.7,4.5,0.23,nan,nan,2017
ASOS PLC,General Retailers,Apparel Retailers,1909.77,2504.0,216.19,nan,nan,2018
ASSURA PLC,Real Estate Investment Trusts,Specialty REITs,1263.97,52.8,52.47,nan,4.15,2018
ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,Automobiles &amp; Parts,Automobiles,2789.84,1175.0,nan,nan,nan,nan
ASTRAZENECA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,74399.85,6010.0,-1422.35,96.81,4.18,2017
ATALAYA MINING PLC,Mining,Gold Mining,287.73,208.0,111.56,nan,nan,2017
ATHELNEY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,5.29,245.0,284.79,nan,3.27,2017
ATLANTIS JAPAN GROWTH FUND LD,Equity Investment Instruments,Equity Investment Instruments,85.24,185.5,282.66,nan,nan,2018
ATTRAQT GROUP PLC,Software &amp; Computer Services,Software,35.1,33.0,10.6,nan,-87.19,2017
AUDIOBOOM GROUP PLC,Media,Broadcasting &amp; Entertainment,11.73,1.07,0.21,nan,nan,2016
AUGEAN PLC,Support Services,Waste &amp; Disposal Services,76.28,70.0,29.17,nan,nan,2017
AUGMENTUM FINTECH PLC,Equity Investment Instruments,Equity Investment Instruments,91.93,97.8,nan,nan,nan,nan
AUKETT SWANKE GROUP PLC,Construction &amp; Materials,Heavy Construction,2.15,1.3,1.99,-2.8,nan,2017
AURA ENERGY LIMITED,Industrial Metals &amp; Mining,Nonferrous Metals,10.47,0.97,1.48,nan,nan,2018
AURORA INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,101.42,185.5,205.72,nan,1.32,2017
AUTINS GROUP PLC,Automobiles &amp; Parts,Auto Parts,5.08,23.0,-418.43,12.8,2.24,2017
AUTO TRADER GROUP PLC,Media,Media Agencies,4267.02,440.5,-34.15,nan,1.68,2018
AVACTA GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,35.22,30.0,25.72,nan,nan,2017
AVANTI COMMUNICATIONS GROUP PLC,Mobile Telecommunications,Mobile Telecommunications,53.98,2.83,61.44,410.82,nan,2017
AVAST PLC,Software &amp; Computer Services,Software,2707.72,276.6,-431.5,370.8,1.96,2017
AVESORO RESOURCES INC.,Mining,Gold Mining,120.73,147.5,121.23,98.05,nan,2017
AVEVA GROUP PLC,Software &amp; Computer Services,Software,3902.75,2284.0,-15.82,-4.97,1.41,2018
AVINGTRANS PLC,Industrial Engineering,Industrial Machinery,55.98,177.0,199.6,-58.9,1.44,2017
AVIVA PLC,Life Insurance,Life Insurance,14650.1,367.7,308.25,nan,5.47,2017
AVON RUBBER PLC,Aerospace &amp; Defense,Defense,387.79,1270.0,141.86,-54.83,1.24,2018
AXA PROPERTY TRUST LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,8.64,36.9,66.94,nan,nan,2017
B&amp;M EUROPEAN VALUE RETAIL S.A.,General Retailers,Broadline Retailers,2816.58,283.7,-13.9,58.15,1.2,2018
B.P. MARSH &amp; PARTNERS PLC,Financial Services,Specialty Finance,105.99,283.0,338.53,nan,1.87,2018
BABCOCK INTERNATIONAL GROUP PLC,Aerospace &amp; Defense,Defense,2473.88,477.6,-46.93,42.76,4.41,2018
BACANORA LITHIUM PLC,Mining,General Mining,32.27,25.0,25.23,nan,nan,2018
BAE SYSTEMS PLC,Aerospace &amp; Defense,Defense,14673.48,465.0,-176.94,17.13,3.83,2017
BAGIR GROUP LTD.,Personal Goods,Clothing &amp; Accessories,4.35,1.35,nan,nan,nan,2016
BAHAMAS PETROLEUM COMPANY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,20.45,1.38,0.1,nan,nan,2017
BAILLIE GIFFORD SHIN NIPPON PLC,Equity Investment Instruments,Equity Investment Instruments,442.9,164.88,845.34,nan,nan,2018
BAILLIE GIFFORD JAPAN TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,620.4,681.0,685.77,nan,nan,2017
BAILLIE GIFFORD UK GROWTH FUND PLC,Equity Investment Instruments,Equity Investment Instruments,244.6,161.5,nan,nan,nan,2018
BAILLIE GIFFORD US GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,236.31,109.0,nan,nan,nan,nan
BAKER STEEL RESOURCES TRUST LIMITED,Equity Investment Instruments,Equity Investment Instruments,51.67,44.5,57.11,nan,nan,2017
BAKKAVOR GROUP PLC,Food Producers,Food Products,816.99,143.6,-52.74,52.26,nan,2017
BALFOUR BEATTY PLC,Construction &amp; Materials,Heavy Construction,1719.52,243.6,-14.35,-2.84,1.23,2017
BANGO PLC,Software &amp; Computer Services,Internet,62.54,90.0,6.92,-42.61,nan,2017
BANK OF GEORGIA GROUP PLC,Banks,Banks,677.06,1344.2,nan,nan,2.49,2017
BANKERS INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,960.01,778.0,869.39,nan,2.18,2017
BARCLAYS PLC,Banks,Banks,25785.97,150.26,328.58,nan,1.47,2017
BARING EMERGING EUROPE PLC,Equity Investment Instruments,Equity Investment Instruments,86.64,667.0,824.76,nan,4.76,2018
BARON OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,5.85,0.4,0.22,nan,nan,2017
BARR (A.G.) PLC,Beverages,Soft Drinks,899.02,797.0,84.37,-7.38,2.47,2018
BARRATT DEVELOPMENTS PLC,Household Goods &amp; Home Construction,Home Construction,4693.8,464.3,365.49,nan,8.5,2018
BATM ADVANCED COMMUNICATIONS LD,Technology Hardware &amp; Equipment,Telecommunications Equipment,187.27,46.6,12.95,-13.31,nan,2017
BB HEALTHCARE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,423.22,120.75,nan,nan,nan,nan
BBA AVIATION PLC,Industrial Transportation,Transportation Services,2253.28,215.0,-37.91,60.6,2.86,2017
BBGI SICAV S.A.,Equity Investment Instruments,Equity Investment Instruments,901.91,155.5,129.69,8.02,2.31,2017
BCA MARKETPLACE PLC,Support Services,Business Support Services,1725.55,207.0,-51.73,28.45,nan,2018
BE HEARD GROUP PLC,Media,Media Agencies,13.27,1.27,-2.08,7.88,-25.94,2017
BEAZLEY PLC,Nonlife Insurance,Property &amp; Casualty Insurance,2657.24,496.6,202.87,nan,158.84,2017
BEEKS FINANCIAL CLOUD GROUP PLC,Software &amp; Computer Services,Computer Services,55.57,111.5,7.98,-43.04,nan,2018
BEGBIES TRAYNOR GROUP PLC,Support Services,Business Support Services,72.91,65.0,0.08,nan,3.4,2018
BELLWAY PLC,Household Goods &amp; Home Construction,Home Construction,3094.53,2556.0,2079.28,nan,4.9,2018
BELVOIR LETTINGS PLC,Real Estate Investment &amp; Services,Real Estate Services,30.92,88.0,-20.17,26.2,7.01,2017
BENCHMARK HOLDINGS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,320.56,57.5,4.69,6.76,nan,2017
BEOWULF MINING PLC,Mining,General Mining,24.35,5.15,0.29,nan,nan,2017
BERKELEY GROUP HOLDINGS (THE) PLC,Household Goods &amp; Home Construction,Home Construction,4488.44,3477.0,1940.12,nan,2.66,2018
BEST OF THE BEST PLC,Travel &amp; Leisure,Recreational Services,22.62,224.0,14.05,nan,2.75,2018
BETTER CAPITAL PCC LIMITED,Equity Investment Instruments,Equity Investment Instruments,17.98,51.0,50.51,nan,nan,2018
BEZANT RESOURCES PLC,Mining,Gold Mining,1.15,0.12,0.87,nan,nan,2017
BH GLOBAL LIMITED,Equity Investment Instruments,Equity Investment Instruments,293.59,1495.0,nan,nan,nan,2017
BH MACRO LIMITED,Equity Investment Instruments,Equity Investment Instruments,334.3,2362.5,nan,nan,nan,2017
BHP GROUP PLC,Mining,General Mining,34882.98,1594.4,nan,nan,nan,nan
BIDSTACK GROUP PLC,Media,Media Agencies,9.84,4.75,3.25,nan,nan,2017
BIFFA PLC,Support Services,Waste &amp; Disposal Services,489.5,192.8,nan,93.46,1.94,2018
BIG SOFA TECHNOLOGIES GROUP PLC,Software &amp; Computer Services,Software,4.41,3.5,-0.16,74.27,nan,2017
BIG YELLOW GROUP PLC,Real Estate Investment Trusts,Specialty REITs,1455.82,869.5,622.25,35.16,3.61,2018
BIGBLU BROADBAND PLC,Software &amp; Computer Services,Internet,58.12,107.5,-0.71,137.58,-46.36,2017
BILBY PLC,Support Services,Business Support Services,24.93,61.5,-6.12,32.55,nan,2018
BILLING SERVICES GROUP LIMITED,Support Services,Financial Administration,3.62,2.2,4.79,-43.34,nan,2017
BILLINGTON HOLDINGS PLC,Construction &amp; Materials,Heavy Construction,33.95,275.0,169.9,-27.57,4.07,2017
BIOME TECHNOLOGIES PLC,Chemicals,Specialty Chemicals,12.18,590.0,103.17,nan,nan,2017
BIOQUELL PLC,Health Care Equipment &amp; Services,Medical Equipment,131.44,588.0,92.01,nan,0.0,2017
BIOTECH GROWTH TRUST (THE) PLC,Equity Investment Instruments,Equity Investment Instruments,337.84,680.0,747.49,nan,nan,2018
BIOVENTIX PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,157.56,3065.0,nan,nan,3.1,2018
BLACKROCK NORTH AMERICAN INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,111.57,167.0,171.76,nan,3.08,2017
BLACKROCK COMMODITIES INCOME INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,82.22,70.8,76.92,5.88,533.33,2017
BLACKROCK FRONTIERS INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,280.43,138.0,153.84,nan,3.46,2017
BLACKROCK GREATER EUROPE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,262.1,314.0,382.17,nan,1.58,2018
BLACKROCK INCOME AND GROWTH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,42.32,176.5,209.96,nan,3.21,2017
BLACKROCK LATIN AMERICAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,171.76,449.0,554.82,nan,2.11,2017
BLACKROCK SMALLER CO TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,574.56,1205.0,1506.78,nan,1.96,2018
BLACKROCK WORLD MINING TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,600.4,336.0,456.01,nan,3.95,2017
BLANCCO TECHNOLOGY GROUP PLC,Software &amp; Computer Services,Software,69.75,109.0,-23.59,nan,nan,2018
BLOCK ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,7.12,2.9,nan,nan,nan,nan
BLOOMSBURY PUBLISHING PLC,Media,Publishing,152.16,200.0,103.83,nan,4.5,2018
BLUE PLANET INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,18.31,37.0,nan,nan,10.11,2018
BLUE PRISM GROUP PLC,Software &amp; Computer Services,Software,741.79,1208.0,nan,nan,nan,2017
BLUE STAR CAPITAL PLC,Financial Services,Specialty Finance,4.7,0.25,0.35,nan,nan,2016
BLUEFIELD SOLAR INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,456.81,123.0,113.28,nan,6.14,2018
BLUEJAY MINING PLC,Industrial Metals &amp; Mining,Nonferrous Metals,116.45,14.03,0.4,nan,nan,2017
BLUEROCK DIAMONDS PLC,Mining,Diamonds &amp; Gemstones,1.24,0.28,0.89,49.79,nan,2017
BMO CAPITAL &amp; INCOME INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,294.74,291.0,nan,nan,nan,2017
BMO GLOBAL SMALLER COMPANIES PLC,Equity Investment Instruments,Equity Investment Instruments,737.21,1220.0,nan,nan,nan,2018
BMO PRIVATE EQUITY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,234.39,315.0,350.98,nan,nan,2016
BMO UK HIGH INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,75.84,86.25,103.75,5.06,nan,2018
BMO UK HIGH INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,26.64,86.0,103.75,5.06,nan,2018
BODYCOTE PLC,Industrial Engineering,Industrial Machinery,1390.93,694.0,220.0,-0.18,2.45,2016
"BOKU, INC.",Support Services,Financial Administration,157.58,70.5,nan,-56.7,nan,2017
BONHILL GROUP PLC,Media,Publishing,28.13,82.0,0.49,nan,nan,2018
BONMARCHE HOLDINGS PLC,General Retailers,Apparel Retailers,18.76,35.0,42.07,-14.99,9.23,2018
BOOHOO GROUP PLC,General Retailers,Apparel Retailers,1877.89,157.85,15.06,-65.21,nan,2018
BOOT (HENRY) PLC,Construction &amp; Materials,Heavy Construction,320.22,245.5,197.0,10.84,2.51,2017
BORDERS &amp; SOUTHERN PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,13.97,2.77,1.3,nan,nan,2017
BOTSWANA DIAMONDS PLC,Mining,Diamonds &amp; Gemstones,3.44,0.68,0.0,nan,nan,2018
BOVIS HOMES GROUP PLC,Household Goods &amp; Home Construction,Home Construction,1161.65,843.6,786.89,nan,4.1,2017
BOWLEVEN PLC,Oil &amp; Gas Producers,Exploration &amp; Production,89.4,27.05,30.23,nan,nan,2017
BOXHILL TECHNOLOGIES PLC,Travel &amp; Leisure,Gambling,1.27,0.04,0.04,-32.49,nan,2017
BP PLC,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,99956.64,508.7,270.45,38.22,5.76,2017
BRITISH &amp; AMERICAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,11.88,47.5,22.14,13.07,12.29,2017
BRITISH AMERICAN TOBACCO PLC,Tobacco,Tobacco,57344.24,2485.0,-2484.31,75.91,3.94,2017
BRITISH EMPIRE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,739.14,670.0,841.95,nan,1.7,2018
